customer_id,category,type,company_name,consignee,branch,trade_name,tin,phone,email,website,franchisee,credit_limit,payment_term,transaction_limit,commision_sharing,shipping_mode,price_type,status,sec_no,sales_executive
0000000022,Corporate,Professional,"Friends Salon & Spa",,Main,"Friends Salon & Spa",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000023,Corporate,Professional,"Chi Chi Knappett",,Main,"Chi Chi Knappett",,"0917 5598508",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000024,Corporate,Professional,"French Tip Nail Salon",No,Main,"French Tip Nail Salon",,"0917 7184633",,,No,No,COD,,,"Walk- In",Professional,Active,---,---
0000000025,Corporate,Professional,"Yaffechen Incorporation",No,Main,"The Beauty Loft Salon",,"0922 8554195",,,No,No,COD,,,"Walk- In",Professional,Active,---,---
0000000026,Corporate,Professional,"Forever Touch",No,Main,"Forever Touch",,,,,No,No,COD,,,"Walk- In",Professional,Active,---,---
0000000027,Corporate,Professional,"Face & Body Company",,Main,"Face & Body Company",,"0917 8627778",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000028,Corporate,Professional,"Skin Rituals Face & Body Care Center",No,Main,"Skin Rituals Face & Body Care Center",,,,,No,No,COD,,,"Walk- In",Professional,Active,---,---
0000000029,Corporate,Professional,"Hairritage Salon",,Main,"Hairritage Salon",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000030,Corporate,Professional,Oryspa,,Main,Oryspa,,"0917 5449587",oryspa@gmail.com,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000031,Corporate,Professional,"Pink Style Salon",,Main,"Pink Style Salon",,"0927 2647123",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000032,Corporate,Professional,"J Nice Salon",,Main,"J Nice Salon",,"0947 3569209",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000033,Corporate,Professional,"Citi Spa",,Main,"Citi Spa",,"0917 8192478",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000034,Corporate,Professional,"Cut in Save",,Main,"Cut in Save",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000035,Corporate,Professional,"Maribeth Salon",,Main,"Maribeth Salon",,"0929 2222989",bethdetoyato@yahoo.com,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000036,Corporate,Professional,"True Berry Nail Spa",,Main,"True Berry Nail Spa",,"0917 8875537",lenokurt@yahoo.com,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000037,Corporate,Professional,"New You Salon & Spa",,Main,"New You Salon & Spa",,"0908 8888266",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000038,Corporate,Professional,"Aqua Spa",,Main,"Aqua Spa",,"0917 5322851",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000039,Corporate,Professional,"Estetica Medispa",,Main,"Estetica Medispa",,"0915 5195854 / 0917 8566508",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000040,Corporate,Professional,"Nailed It",,Main,"Nailed It",,"0917 5007691",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000041,Corporate,Professional,"Ring a Spa",,Main,"Ring a Spa",,"0922 8865210  0922 8811972",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000042,Corporate,Professional,"Beauty Perks Salon",,Main,"Beauty Perks Salon",,"0922 8543410",betchaikool@yahoo.com,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000043,Corporate,Professional,"Lalic Salon",,Main,"Lalic Salon",,"0920 9457974",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000044,Corporate,Professional,"Face Value Salon",,Main,"Face Value Salon",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000045,Corporate,Professional,"Empress Jaya",,Main,"Empress Jaya",,,ysa_nagui@yahoo.com,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000046,Corporate,Professional,"Aizen Salon",No,Main,"Aizen Salon",103-772-712-000," 874-3901",,,No,No,COD,,,ideliver101,Professional,Active,---,---
0000000047,Corporate,Professional,"Amelia Salon",,Main,"Amelia Salon",,"0939 6377967",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000048,Corporate,Professional,"Americuts Salon & Spa",,Main,"Americuts Salon & Spa",,,magatyolanda@yahoo.com,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000049,Corporate,Professional,"Angelo Falconi III Salon",,Main,"Angelo Falconi III Salon",,"0917 5309669",cdungo@angelofalconi.com,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000050,Corporate,Professional,"Angels Ways",,Main,"Angels Ways",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000051,Corporate,Professional,"Aqua Salon",,Main,"Aqua Salon",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000052,Corporate,Professional,"Artisan Salon",,Main,"Artisan Salon",,"0908 6144795",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000053,Corporate,Professional,"At Your Service",,Main,"At Your Service",,"0918 4323802",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000054,Corporate,Professional,"Attyna Salon",,Main,"Attyna Salon",,"0919 2845849",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000055,Corporate,Professional,"Ayz Secrets of Beauty Salon",,Main,"Ayz Secrets of Beauty Salon",,"0939 1917365",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000056,Corporate,Professional,"Azzanzi Salon",Yes,Main,"Azzanzi Salon",155-992-386-001,"0917 5337231",,,No,No,COD,,,"Walk- In",JUL2014PROMO,Active,---,---
0000000057,Corporate,Professional,"Christine Hair Salon",No,Main,"Christine Hair Salon",,"0918 9659515",,,No,No,COD,,,"Walk- In",Professional,Active,---,---
0000000058,Corporate,Professional,"Jo Zen Salon",,Main,"Jo Zen Salon",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000059,Corporate,Professional,"B7 Salon",,Main,"B7 Salon",,"0915 5854546",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000060,Corporate,Professional,Baros,,Main,Baros,,"0918 9347180",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000061,Corporate,Professional,B-Bums,,Main,B-Bums,,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000062,Corporate,Professional,"Beauty Works",,Main,"Beauty Works",,"0918 9119718",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000063,Corporate,Professional,"Belleza Wellness Spa",,Main,"Belleza Wellness Spa",,"0915 7292189",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000064,Corporate,Professional,"Belmere Skin Care",,Main,"Belmere Skin Care",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000065,Corporate,Professional,"Blanca Salon",,Main,"Blanca Salon",,"0918 4574274",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000066,Corporate,Professional,"Blooming Touch",,Main,"Blooming Touch",,"0917 9871492",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000067,Corporate,Professional,"Blunt Cut Salon",,Main,"Blunt Cut Salon",,"0949 6249784",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000068,Corporate,Professional,"Body Care Treatment Spa & Salon",,Main,"Body Care Treatment Spa & Salon",,"0920 9504129",gclbodycarehomespa@yahoo.com,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000069,Corporate,Professional,"Boracay Sands Spa",,Main,"Boracay Sands Spa",,"0917 8004995",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000070,Corporate,Professional,"Boracay Sands Spa",No,Makati,"Boracay Sands Spa",,8937293,,,No,No,COD,,,ideliver101,Professional,Active,---,---
0000000071,Corporate,Professional,"Buddha Groove",,Main,"Buddha Groove",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000072,Corporate,Professional,"Burj-Al Hair Salon",,Main,"Burj-Al Hair Salon",,"0917 5618722",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000073,Corporate,Professional,"Clientele Salon",,Main,"Clientele Salon",,"0927 4767979",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000074,Corporate,Professional,"Cosmopolitan Salon",,Main,"Cosmopolitan Salon",,"0917 8572125",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000075,Corporate,Professional,"Countrystyle Salon",,Main,"Countrystyle Salon",,"0908 8648795",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000076,Corporate,Professional,"Cut Couture",,Main,"Cut Couture",,"0918 3465497 0907 7230199",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000077,Corporate,Professional,"Cuts n Snax",,Main,"Cuts n Snax",,"0915 2803811",yesfridanep@yahoo.com,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000078,Corporate,Professional,"Davida Salon",,Main,"Davida Salon",,"0917 8455837",arciea@davidasalonspa.com,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000079,Corporate,Professional,"Day to Day Wellness Spa",,Main,"Day to Day Wellness Spa",,"0922 3908746",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000080,Corporate,Professional,"Dezeno del Palo Salon",,Main,"Dezeno del Palo Salon",,"0910 3247332",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000081,Corporate,Professional,"Dhalynz Salon",,Main,"Dhalynz Salon",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000082,Corporate,Professional,"Dhang Arevalo Salon",,Main,"Dhang Arevalo Salon",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000083,Corporate,Professional,"Dial Zen Home Service Massage",,Main,"Dial Zen Home Service Massage",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000084,Corporate,Professional,"Diamond Spa & Wellness Services",No,Main,"Diamond Spa & Wellness Services",,"0917 8053564",,,No,No,COD,,,"Walk- In",Professional,Active,---,---
0000000085,Corporate,Professional,"Dick Bejeran Salon",,Main,"Dick Bejeran Salon",,"0907 8092509",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000086,Corporate,Professional,Dinmei,,Main,Dinmei,,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000087,Corporate,Professional,"DVG Salon & Spa",No,Main,"DVG Salon & Spa",118-014-488-001,"0922 8026302",,,No,No,COD,,,"Walk- In",Professional,Active,---,---
0000000088,Corporate,Professional,"Ellytes Salon",,Main,"Ellytes Salon",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000089,Corporate,Professional,"Epic Salon",,Main,"Epic Salon",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000090,Corporate,Professional,"Essential Touch Massage Centre",,Main,"Essential Touch Massage Centre",,"0917 8407475",essential_touch_massage@yahoo.com,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000091,Corporate,Professional,"Euro Asian Facial Care",,Main,"Euro Asian Facial Care",,"0917 8930730",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000092,Corporate,Professional,"Fab Spa Skin Care",No,Main,"Fab Spa Skin Care",006-642-667-000,"0916 5620707","roismanel@yahoo.com / fabspa _skincarecenter@yahoo.com",fabspa_skincarecenter@yahoo.com,No,No,COD,,,"Walk- In",Professional,Active,---,---
0000000093,Corporate,Professional,Faceline,,Main,Faceline,,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000094,Corporate,Professional,"Faces Hair & Make Up Studio",,Main,"Faces Hair & Make Up Studio",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000095,Corporate,Professional,"Facial Avenue",,Main,"Facial Avenue",,"0939 5131114",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000096,Corporate,Professional,"Finest Salon & Spa",,Main,"Finest Salon",,"0916 5220147",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000097,Corporate,Professional,"Five Elements",,Main,"Five Elements",,"0916 3569146",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000098,Corporate,Professional,"French Tip",,Main,"French Tip",,"0917 8506258",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000099,Corporate,Professional,"Froilan Cabrera Salon & Spa",No,Main,"Froilan Cabrera Salon & Spa",,"0908 8844680",cabrera.froilan@yahoo.com,,No,No,COD,,,"Walk- In",Professional,Active,---,---
0000000100,Corporate,Professional,"Green Garden Foot Massage",,Main,"Green Garden Foot Massage",,"0908 8605872",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000101,Corporate,Professional,"G Spot",,Main,"G Spot",,"0927 8563899",fujindevera@yahoo.com,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000102,Corporate,Professional,"Hair Bytes",,Main,"Hair Bytes",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000103,Corporate,Professional,"Prima Basic Beauty Center",No,Main,"Hairspray Salon",152-885-755-000,,,,No,No,COD,,,ideliver101,Professional,Active,---,---
0000000104,Corporate,Professional,"Hair Statement",,Main,"Hair Statement",,"0926 6198483",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000105,Corporate,Professional,"Hair Station",,Main,"Hair Station",,"0916 2860224",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000106,Corporate,Professional,"Hair Tropics",,Main,"Hair Tropics",,"0929 1643735",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000107,Corporate,Professional,"Hairrebonding Salon",,Main,"Hairrebonding Salon",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000108,Corporate,Professional,Hairritage,,Main,Hairritage,,"0927 7980147",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000109,Corporate,Professional,"Happy Face",,Main,"Happy Face",,"0927 3558808",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000110,Corporate,Professional,"Home Service Mass",,Main,"Home Service Mass",,0918-4075429,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000111,Corporate,Professional,"Hot Hair Salon",,Main,"Hot Hair Salon",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000112,Corporate,Professional,"I Derm Facial Center & Spa",,Main,"I Derm Facial Center & Spa",,"0917 8343376",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000113,Corporate,Professional,"Koffee N Style",,Main,"Koffee N Style",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000114,Corporate,Professional,"I Love Spa",,Main,"I Love Spa",,"0922 8450090",bulaon@pldtsl.net,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000115,Corporate,Professional,"Images Quo",,Main,"Images Quo",,"0905 3420286",decasa.pearlie@bd-css.com,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000116,Corporate,Professional,"In & Out Spa",,Main,"In & Out Spa",,"0917 8004897",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000117,Corporate,Professional,"Infinity Spa",,Main,"Infinity Spa",,"0922 8994061",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000118,Corporate,Professional,"Hair Buzz Salon",No,Main,"Hair Buzz Salon",117-547-807-000,"873 7679",,,No,No,COD,,,"In- House Delivery",Professional,Active,---,---
0000000119,Corporate,Professional,"Isabella Nail Salon & Foot Spa",No,Main,"Isabella Nail Salon & Foot Spa",240-575-045-000,"0918 9079805",myktimtom@yahoo.com.ph,,No,No,COD,,,"Walk- In",Professional,Active,---,---
0000000120,Corporate,Professional,"iStyle by Irene Manigo",,Main,"iStyle by Irene Manigo",,"0917 8913645",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000121,Corporate,Professional,"Iyashi Spa",,Main,"Iyashi Spa",,"0933 2123202",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000122,Corporate,Professional,"J Nice",,Main,"J Nice",,"0947 3569209",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000123,Corporate,Professional,"J Spa",,Main,"J Spa",,"0949 8218597",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000124,Corporate,Professional,"Jaja Salon",,Main,"Jaja Salon",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000125,Corporate,Professional,"Jennesse Skin Care Solution",No,Main,"Jennesse Skin Care Solution",,"0917 5501175",hirao_reyma@yahoo.com,,No,No,COD,,,ideliver101,Professional,Active,---,---
0000000126,Corporate,Professional,"Jessa Margaret",,Main,"Jessa Margaret",,"0948 7709092",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000127,Corporate,Professional,"Justine Barbara Salon",No,Main,"Justine Barbara",006-909-969-000,"0922 8508676",justinbarbarasalon@yahoo.com,,No,No,"30 days",,,"In- House Delivery",Professional,Active,---,---
0000000128,Corporate,Professional,"La Seoches Salon",,Main,"La Seoches Salon",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000129,Corporate,Professional,"La Sophia Salon & Spa",No,Main,"La Sophia Salon & Spa",,"0907 5583106",,,No,No,COD,,,"Walk- In",Professional,Active,---,---
0000000130,Corporate,Professional,"La Vie",,Main,"La Vie",,"0922 6978927",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000131,Corporate,Professional,"Lalique Salon",,Main,"Lalique Salon",,"0949 7777431",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000132,Corporate,Professional,"Lavish Lashes",,Main,"Lavish Lashes",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000133,Corporate,Professional,"Laxare Nail and Day Spa",,Main,"Laxare Nail and Day Spa",,"0922 8788615",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000134,Corporate,Professional,"Leo Pregola Salon",,Main,"Leo Pregola Salon",,"0920 5965178",lpriagola@yahoo.com,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000135,Corporate,Professional,"Lereve Spa",,Main,"Lereve Spa",,"0918 9485372",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000136,Corporate,Professional,"Lissa Martin",,Main,"Lissa Martin",,"0929 1658926",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000137,Corporate,Professional,"Lojanes Salon",,Main,"Lojanes Salon",,"0917 8194318",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000138,Corporate,Professional,"Luminous Salon",,Main,"Luminous Salon",,"0915 3871506",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000139,Corporate,Professional,"Lynderm Facial Center & Day Spa",No,Main,Lynderm,,"0922 8370905",,,No,No,COD,,,"Walk- In",Professional,Active,---,---
0000000140,Corporate,Professional,"Mae Lynns Spa",,Main,"Mae Lynns Spa",,"0917 8840696",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000141,Corporate,Professional,"Magic Touch Home Service",,Main,"Magic Touch Home Service",,"0918 6671629",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000142,Corporate,Professional,"Mammita Hair Salon",,Main,"Mammita Hair Salon",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000143,Corporate,Professional,"Mandarine Foot Spa",,Main,"Mandarine Foot Spa",,"0906 3002544",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000144,Corporate,Professional,"Mane Event Salon",,Main,"Mane Event Salon",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000145,Corporate,Professional,"Margot Garcia",,Main,"Margot Garcia",,"0918 9646464",margotg@pldtdsl.net,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000146,Corporate,Professional,"Mercy Salon",,Main,"Mercy Salon",,"0928 3311569",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000147,Corporate,Professional,"Michelle n Maricar",,Main,"Michelle n Maricar",,"0916 2723655",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000148,Corporate,Professional,"Mikeys Barber Shop and Salon",No,Main,"Mikeys Barber Shop and Salon",113-225-873-003,,,,No,No,COD,,,ideliver101,Professional,Active,---,---
0000000149,Corporate,Professional,"Miles Salon",,Main,"Miles Salon",,"0916 3770931",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000150,Corporate,Professional,"Mimar Beauty Salon",No,Main,"Mimar Beauty Salon",902-972-455-000,,,,No,No,COD,,,"Walk- In",Professional,Active,---,---
0000000151,Corporate,Professional,"MLB Salon",,Main,"MLB Salon",,"0916 2210861",kizz_me26@yahoo.com,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000152,Corporate,Professional,"Mr.Ting Salon",,Main,"Mr.Ting Salon",,"0918 9386252",celieto@hotmail.com,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000153,Corporate,Professional,"Mrs. Bernie Lachica",,Main,"Mrs. Bernie Lachica",,,bernie_lachica@yahoo.com,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000154,Corporate,Professional,"Ms. Nancy Castiglione",,Main,"Ms. Nancy Castiglione",,"0917 8271777 /  0917 8270081",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000155,Corporate,Professional,"My Hair Doctor Salon",,Main,"My Hair Doctor Salon",,"0917 8241581",mhds_salon@yahoo.com,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000156,Corporate,Professional,"My Spa",,Main,"My Spa",,"0922 8531952",odessalaher@yahoo.com,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000157,Corporate,Professional,"My Tralala",,Main,"My Tralala",,"0933 4620501",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000158,Corporate,Professional,"Nail to Toe",,Main,"Nail to Toe",,"0923 4796058",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000159,Corporate,Professional,"Nailegance Spa",No,Main,"Nailegance Spa",249-620-992-000,"0927 6992093",marissa.csilverio@gmail.com,,No,No,COD,,,"Walk- In",Professional,Active,---,---
0000000160,Corporate,Professional,"Nicchia Spa",,Main,"Nicchia Spa",,"0915 3442534",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000161,Corporate,Professional,"Nida Beauty Salon",,Main,"Nida Beauty Salon",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000162,Corporate,Professional,"NU Style Salon & Spa",No,Main,"NU Style Salon & Spa",,,,,No,No,COD,,,"Walk- In",Professional,Active,---,---
0000000163,Corporate,Professional,"Oh my Nails",,Main,"Oh my Nails",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000164,Corporate,Professional,"My Tralala haven Nail & Day Spa",,Main,"My Tralala haven Nail & Day Spa",,,maribeth_pion@yahoo.com,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000165,Corporate,Professional,"Justin Barbara Salon",No,Main,"Justin Barbara Salon",,"0920 9507164",justinbarbarasalon@yahoo.com,,No,No,COD,,,"Walk- In",Professional,Active,---,---
0000000166,Corporate,Professional,"Orange Bloom Salon",,Main,"Orange Bloom Salon",,"0922 8280492",orangebloomsalon@yahoo.com,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000167,Corporate,Professional,"Orange Blossom",,Main,"Orange the Spa",,"0927 5141084",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000168,Corporate,Professional,"Pampering Face Beauty Center",,Main,"Pampering Face Beauty Center",,"0923 8659726",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000169,Corporate,Professional,"Payneta Salon",,Main,"Payneta Salon",,"0905 3728723",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000170,Corporate,Professional,"J & N Beauty Salon for Men & Women",,Main,"J & N Beauty Salon for Men & Women",,"0905 2477865",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000171,Corporate,Professional,"Peach Grooming Pad",,Main,"Peach Grooming Pad",,,,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000172,Corporate,Professional,"Peluqueria Salon",,Main,"Peluqueria Salon",,"0908 3004464",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000173,Corporate,Professional,"Pink Beauty & Hair",,Main,"Pink Beauty & Hair",,"0921 2314472",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
0000000174,Corporate,Professional,"Positive Hair Salon & Spa",,Main,Positive,,"0919 9131031",,,no,no,COD,,,"Walk- In",Professional,Active,---,---
